ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5354;-4825971.068;-8002275.946;18.263129;7.354047;6.59857;4.162066;2.594204;3.183205;12.342842;0.174718;24.212895;-0.116531;10341.67742;71.948718;3.256385;134.188284;2
5355;-4825971.068;-7962793.725;10.402054;4.404269;4.42009;2.073157;1.467654;1.903293;7.589643;0.101821;15.167611;-0.047602;5320.076923;39.102564;2.593877;78.94244;2
5356;-4825971.068;-7936472.245;17.188199;7.278955;7.564233;3.267374;2.502443;2.804594;8.41357;0.200537;19.815548;-0.053175;6345.425;33.725;3.074256;43.17917;2
5365;-4818372.711;-8160204.827;25.158873;10.364431;9.783327;5.099211;3.634562;3.337168;13.499067;0.364005;10.215537;-0.208442;10972.82051;57.384615;2.251552;73.762587;2
5366;-4818372.711;-8133883.347;18.540034;7.377949;6.309372;3.93853;3.227722;2.799075;13.580582;0.288131;23.284692;-0.071892;11646.64103;72.923077;2.467775;108.90516;2
5367;-4818372.711;-8107561.867;21.307213;9.091169;8.11901;4.528071;3.377141;2.980671;11.569328;0.411763;18.233277;-0.054284;14372.24359;54.435897;2.21287;85.825693;2
5368;-4818372.711;-8068079.646;17.283384;7.28659;6.473293;3.41849;2.699972;2.446319;10.712253;0.238531;15.781882;-0.045335;14956.25641;54.897436;2.345796;70.833225;2
5369;-4818372.711;-8028597.426;19.578348;8.157937;6.91329;4.525458;2.952499;3.010382;12.632425;0.209107;18.725865;-0.123818;13861.31429;72.230769;2.445707;97.830717;2
5370;-4818372.711;-7989115.206;10.447902;4.300586;3.372861;2.500603;1.543563;2.173219;8.827195;0.186578;17.540049;-0.075309;9737.153846;72.333333;2.152913;149.845155;2
5371;-4818372.711;-7949632.985;11.618913;4.646131;4.808299;2.22872;1.768519;1.976981;8.660067;0.101121;9.028154;-0.266146;5836.621622;59.358974;2.97095;78.508466;2
5381;-4810774.354;-8147044.087;23.292495;9.753789;9.036205;4.782874;3.589655;3.165203;12.635413;0.556804;11.101307;-0.062962;14440.76471;55.138889;1.976526;69.005652;2
